25時ミク,25-ji miku
アカシ,akashi (live a hero)
赤夜萌香,akashiya moka
暁（艦隊これくしょん）,akatsuki (kancolle)
暁改二（艦隊これくしょん）,akatsuki kai ni (kancolle)
暁切歌,akatsuki kirika
赤月ゆに,akatsuki uni
赤座灯里（ゆるゆり）,akaza akari
曙（艦隊これくしょん）,akebono (kancolle)
明智吾郎,akechi gorou
暁美焔（魔法少女まどか☆マギカ）,akemi homura
暁美焔（black ドレス）（魔法少女まどか☆マギカ）,akemi homura (black dress)
アーケシュフース城,akershus fortress (oshiro project)
緋田美琴（アイドルマスター シャイニーカラーズ）,aketa mikoto
秋穣子（東方Project）,aki minoriko
アキ・ローゼンタール,aki rosenthal
アキ・ローゼンタール（通常）,aki rosenthal (1st costume)
秋静葉（東方Project）,aki shizuha
秋雲（艦隊これくしょん）,akigumo (kancolle)
秋雲改二（艦隊これくしょん）,akigumo kai ni (kancolle)
フェイリス・ニャンニャン,akiha rumiho
秋川やよい,akikawa yayoi (umamusume)
清澄晶（ブルーアーカイブ）,akira (blue archive)
秋霜（艦隊これくしょん）,akishimo (kancolle)
秋津丸（艦隊これくしょん）,akitsu maru (kancolle)
秋津洲（艦隊これくしょん）,akitsushima (kancolle)
秋山澪（けいおん！）,akiyama mio
暁山瑞希,akiyama mizuki
秋山凜子,akiyama rinko
秋山優花里（ガールズ＆パンツァー）,akiyama yukari
秋月（艦隊これくしょん）,akizuki (kancolle)
秋月律子（アイドルマスター）,akizuki ritsuko
秋月涼（アイドルマスター）,akizuki ryo
天雨亜子（ブルーアーカイブ）,ako (blue archive)
天雨亜子（ドレス）（ブルーアーカイブ）,ako (dress) (blue archive)
悪魔焔（魔法少女まどか☆マギカ）,akuma homura
アル・アジフ,al azif (demonbane)
アルバトリオン（モンスターハンター）,alatreon (monster hunter)
アルベド（原神）,albedo (genshin impact)
アルベド,albedo (overlord)
オルチーナ・ドミトレスク,alcina dimitrescu
リュール（女性）（ファイアーエムブレム）,alear (female) (fire emblem)
リュール（男性）（ファイアーエムブレム）,alear (male) (fire emblem)
アレクサンドラ・I・ポクルイーシキン,aleksandra i. pokryshkin
アルフォンス（ファイアーエムブレム）,alfonse (fire emblem)
アルハイゼン（原神）,alhaitham (genshin impact)
アリババ・サルージャ,alibaba saluja
アリス,alice (alice in wonderland)
アリス（NIKKE）,alice (nikke)
アリス・キャロル,alice carroll
アリス・カータレット,alice cartelet
アリス・リデル（American McGee's Alice）,alice liddell (american mcgee's alice)
アリぱい,alice margatroid
ロリス,alice margatroid (pc-98)
アリス・シンセシス・サーティ,alice zuberg
アリシア（グラブル）,alicia (granblue fantasy)
アリシア・フローレンス,alicia florence
アリナ・グレイ,alina gray
アリスフィーズ・フェイタルベルン,alipheese fateburn xvi
アリサ・ボスコノビッチ（鉄拳）,alisa boskonovich (tekken)
アリサ・イリーニチナ・アミエーラ,alisa ilinichina amiella
アリサ・ミハイロヴナ・九条,alisa mikhailovna kujou
アリサ・ラインフォルト,alisa reinford
アリサ=サザンクロス,alisa southerncross
アレルヤ・ハプティズム,allelujah haptism
アレイン,alleyne (queen's blade)
アローラロコン,alolan vulpix
アルパカ・スリ（けものフレンズ）,alpaca suri (kemono friends)
アルフォンス・エルリック,alphonse elric
チルタリス,altaria
アルテラ（Fate）,altera (fate)
アルティナ・オライオン,altina orion
天江衣（咲-Saki-）,amae koromo
天ヶ瀬冬馬（アイドルマスター）,amagase touma
天城（アズールレーン）,amagi (azur lane)
天城（艦隊これくしょん）,amagi (kancolle)
天城燐音,amagi rinne
天城雪子,amagi yukiko
小天城（アズールレーン）,amagi-chan (azur lane)
天霧（艦隊これくしょん）,amagiri (kancolle)
天草四郎（Fate）,amakusa shirou (fate)
天海春香（アイドルマスター）,amami haruka
天海蘭太郎（ダンガンロンパ）,amami rantaro
天宮えれな,amamiya elena
雨宮響也,amamiya hibiya
天宮こころ,amamiya kokoro
雨宮蓮,amamiya ren
天音彼方（ホロライブ）,amane kanata
天音彼方（ナース）（ホロライブ）,amane kanata (nurse)
天音彼方（仕事着）（ホロライブ）,amane kanata (work)
弥海砂,amane misa
阿万音鈴羽（STEINS;GATE）,amane suzuha
天野陽菜,amano hina (tenki no ko)
天野ピカミィ,amano pikamee
天ノ川きらら,amanogawa kirara
天沢勇子,amasawa yuuko
アマテラス（大神）,amaterasu (ookami)
天津風（艦隊これくしょん）,amatsukaze (kancolle)
アマゾン,amazon (dragon's crown)
アンバー（原神）,amber (genshin impact)
あめちゃん,ame-chan (needy girl overdose)
アルフレッド・F・ジョーンズ,america (hetalia)
アミティ・ブライト,amity blight
アーミヤ,amiya (arknights)
エミー・ローズ,amy rose
AN-94（ドールズフロントライン）,an-94 (girls' frontline)
アナ・アマリ,ana (overwatch)
アナ・コッポラ,ana coppola
リラ（トレーナー）,anabel (pokemon)
アナスタシア（Fate）,anastasia (fate)
アナスタシア,anastasia (idolmaster)
アナスタシア（水着アーチャー）（Fate）,anastasia (swimsuit archer) (fate)
アンビー・デマラ,anby demara
アンセリス・セイクリッド,anceril sacred
アンカレッジ（アズールレーン）,anchorage (azur lane)
安丘比（ガールズ＆パンツァー）,anchovy (girls und panzer)
アンチラ,andira (granblue fantasy)
安藤（ガールズ＆パンツァー）,andou (girls und panzer)
人造人間18号,android 18
姉ヶ崎寧々,anegasaki nene
アネモネ,anemone (eureka seven)
アンジェ（プリンセス・プリンシパル）,ange (princess principal)
アンジュ・カトリーナ,ange katrina
アンヘル,angel (kof)
天使の悪魔,angel devil (chainsaw man)
エンジェル・ガール（Shimmer）,angel girl (shimmer)
アンジェラ,angela (project moon)
アンジェラ,angela balzac
安娜.維克多洛夫納.崔,angelia (girls' frontline)
ロラジェリ,angelica (project moon)
アンジェリーナ,angelina (arknights)
アンジェリーナ（高貴なる来客）（アークナイツ）,angelina (distinguished visitor) (arknights)
アンジェリーナ（夏の花弁）（アークナイツ）,angelina (summer flower) (arknights)
エンジェウーモン,angewomon
アニラ,anila (granblue fantasy)
アニス（NIKKE）,anis (nikke)
アニス:スパークリングサマー,anis (sparkling summer) (nikke)
Anise・Tatlin（テイルズ オブ ジ アビス）,anise tatlin (tales of abyss)
アニスフィア・ウィン・パレッティア,anisphia wynn palettia
安城鳴子,anjou naruko
ナイル,ankha (animal crossing)
あんこ,anko (gochiusa)
アナ（ディズニー）,anna (frozen)
Anna・Williams（鉄拳）,anna williams (tekken)
アン・ボニー（Fate）,anne bonny (fate)
アニー（リーグ・オブ・レジェンド）,annie (league of legends)
アニ・レオンハート,annie leonhart
アンセル（アークナイツ）,ansel (arknights)
アントニオ・サリエリ（Fate）,antonio salieri (fate)
アントニオ・サリエリ（第二再臨）（Fate）,antonio salieri (second ascension) (fate)
アーニャ（SPY×FAMILY）,anya (spy x family)
アーニャ・アールストレイム,anya alstreim
アーニャ・メルフィッサ,anya melfissa
安養寺姫芽,anyoji hime
Ao・Chan（Ninomae・Ina'nis）,ao-chan (ninomae ina'nis)
青葉（艦隊これくしょん）,aoba (kancolle)
青羽ここな,aoba kokona
青葉摩卡（BanG Dream!）,aoba moca
扇喜葵（ブルーアーカイブ）,aoi (blue archive)
青木れいか,aoki reika
青山澄香,aoyama sumika
蒼崎青子,aozaki aoko
蒼崎橙子,aozaki touko
アポニア（Honkai・Impact）,aponia (honkai impact)
Apricot the Lich,apricot the lich
アクア（キングダムハーツ）,aqua (kingdom hearts)
アクア,aqua (konosuba)
天鹰（艦隊これくしょん）,aquila (kancolle)
アラ・ハーン,ara haan
新垣あやせ,aragaki ayase
荒垣真次郎,aragaki shinjirou
荒木比奈（アイドルマスター シンデレラガールズ）,araki hina
アランナラ,aranara (genshin impact)
阿良良木火怜（〈物語〉シリーズ）,araragi karen
阿良良木暦（〈物語〉シリーズ）,araragi koyomi
阿良良木月火（〈物語〉シリーズ）,araragi tsukihi
嵐（艦隊これくしょん）,arashi (kancolle)
嵐千砂都,arashi chisato
荒潮（艦隊これくしょん）,arashio (kancolle)
荒瀧一斗,arataki itto
アーボック（ポケモン）,arbok (pokemon)
ウインディ（ポケモン）,arcanine (pokemon)
アークビショップ,arch bishop (ragnarok online)
アーチャー（エミヤ）（Fate/stay night）,archer (fate)
アーチャー（周瑜）（Fate/Samurai Remnant）,archer (fate/samurai remnant)
空弦,archetto (arknights)
アオギリ,archie (pokemon)
アーキテクト（ドールズフロントライン）,architect (girls' frontline)
アルクェイド,arcueid brunestud
アルガリア,argalia (project moon)
アルジェンティ（崩壊：スターレイル）,argenti (honkai  star rail)
Argonians（The Elder Scrolls）,argonians (elder scrolls)
在原七海,arihara nanami
アリカ・ユメミヤ,arika yumemiya
有馬かな,arima kana
有马千音（オリジナル）,arima senne
アリス（ブルーアーカイブ）,aris (blue archive)
愛麗丝（メイド）（ブルーアーカイブ）,aris (maid) (blue archive)
アリサ・バニングス,arisa bunnings
有栖川向陽（プリキュア）,arisugawa himari
有栖川夏葉（アイドルマスター シャイニーカラーズ）,arisugawa natsuha
アルジュナ（Fate）,arjuna (fate)
アルジュナ〔オルタ〕（Fate）,arjuna alter (fate)
皇家方舟（アズールレーン）,ark royal (azur lane)
皇家方舟（艦隊これくしょん）,ark royal (kancolle)
アルル,arle nadja
アルレッキーノ（原神）,arlecchino (genshin impact)
アルミン・アルレルト,armin arlert
アロナ,arona (blue archive)
アルス・アルマル,ars almal
左然,artem wing (tears of themis)
アルテミス,artemis (sailor moon)
アーサー・ペンドラゴン（Fate）,arthur pendragon (fate)
アルトリア・キャスター（Fate）,artoria caster (fate)
アルトリア・キャスター（第一再臨）（Fate）,artoria caster (first ascension) (fate)
アルトリア・キャスター（第二再臨）（Fate）,artoria caster (second ascension) (fate)
アルトリア・キャスター（水着バーサーカー）（Fate）,artoria caster (swimsuit berserker) (fate)
アルトリア・キャスター（第三再臨）（Fate）,artoria caster (third ascension) (fate)
アルトリア・ペンドラゴン（水着ライダー〔オルタ〕）（Fate）,artoria pendragon (alter swimsuit rider) (fate)
アルトリア・ペンドラゴン（Fate）,artoria pendragon (fate)
アルトリア・ペンドラゴン（ランサー〔オルタ〕）（Fate）,artoria pendragon (lancer alter) (fate)
アルトリア・ペンドラゴン（ランサー〔オルタ〕）（ロイヤル・アイシング）（Fate）,artoria pendragon (lancer alter) (royal icing) (fate)
アルトリア・ペンドラゴン（ランサー）（Fate）,artoria pendragon (lancer) (fate)
アルトリア・ペンドラゴン（水着アーチャー）（第一再臨）（Fate）,artoria pendragon (swimsuit archer) (first ascension) (fate)
アルトリア・ペンドラゴン（水着ルーラー）（Fate）,artoria pendragon (swimsuit ruler) (fate)
陸八魔アル（ブルーアーカイブ）,aru (blue archive)
アル（ドレス）,aru (dress) (blue archive)
アルランディス,arurandeisu
アルルゥ,aruruu
ペパー,arven (pokemon)
朝田詩乃,asada shino
浅上藤乃,asagami fujino
朝雲（艦隊これくしょん）,asagumo (kancolle)
ヒヨリ,asahina hiyori
朝比奈まふゆ,asahina mafuyu
朝比奈みくる,asahina mikuru
朝香果林,asaka karin
朝風（艦隊これくしょん）,asakaze (kancolle)
朝倉涼子,asakura ryouko
浅倉透（アイドルマスター）,asakura toru
佐藤麻美,asami sato
麻宮アテナ,asamiya athena
浅利七海（アイドルマスター シンデレラガールズ）,asari nanami
朝霜（艦隊これくしょん）,asashimo (kancolle)
朝潮（艦隊これくしょん）,asashio (kancolle)
朝潮改二（艦隊これくしょん）,asashio kai ni (kancolle)
アスクレピオス（Fate）,asclepius (fate)
アズゴア（UNDERTALE）,asgore (undertale)
サトシ（アニポケ）,ash ketchum
アッシュ（リーグ・オブ・レジェンド）,ashe (league of legends)
アーシェ・バナルガン・ダルマスカ,ashelia b'nargin dalmasca
芦戸三奈（僕のヒーローアカデミア）,ashido mina
足柄（艦隊これくしょん）,ashigara (kancolle)
足柄改二（艦隊これくしょん）,ashigara kai ni (kancolle)
蘆屋道満（Fate）,ashiya douman (fate)
アシュリー,ashley (warioware)
アシュリー・グラハム,ashley graham
アーシア・アルジェント,asia argento
アスモデウス（うみねこのなく頃に）,asmodeus (umineko)
アズリエル・ドリーマー,asriel dreemurr
アッサム,assam (girls und panzer)
アサシン（Fate・Zero）,assassin (fate/zero)
アサシンクロス,assassin cross (ragnarok online)
アセイラム・ヴァース・アリューシア,asseylum vers allusia
アスター（崩壊：スターレイル）,asta (honkai  star rail)
アスタロット,astaroth (shinrabanshou)
アステシア（アークナイツ）,astesia (arknights)
アストルフォ（Fate）,astolfo (fate)
アストルフォ（トゥリファスの思い出）（Fate）,astolfo (memories at trifas) (fate)
アストルフォ（セイバー）（Fate）,astolfo (saber) (fate)
アストルフォ（セーラーパラディン）（Fate）,astolfo (sailor paladin) (fate)
アストンマーチャン（ウマ娘）,aston machan (umamusume)
蛙吹梅雨（僕のヒーローアカデミア）,asui tsuyu
飛鳥,asuka (senran kagura)
明日奈（ブルーアーカイブ）,asuna (blue archive)
アスナ（SAO）,asuna (sao)
ALOアスナ,asuna (sao-alo)
アスナ（制服）（ブルーアーカイブ）,asuna (school uniform) (blue archive)
愛宕（アズールレーン）,atago (azur lane)
愛宕（艦隊これくしょん）,atago (kancolle)
愛宕（アズールレーン）,atago (stunning speedster) (azur lane)
愛宕（夏 march）（アズールレーン）,atago (summer march) (azur lane)
アタランテ（Fate）,atalanta (fate)
アタランテ〔オルタ〕（Fate）,atalanta alter (fate)
新子憧,atarashi ako
希月心音,athena cykes
アトランタ（艦隊これくしょん）,atlanta (kancolle)
アトリ,atri
敦子（ブルーアーカイブ）,atsuko (blue archive)
敦子（水着）（ブルーアーカイブ）,atsuko (swimsuit) (blue archive)
アティ,aty (summon night)
オーブリー（Faraway）（OMORI）,aubrey (faraway) (omori)
オーブリー（Headspace）（OMORI）,aubrey (headspace) (omori)
オーブリー（OMORI）,aubrey (omori)
アウグスト・フォン・パーセヴァル（アズールレーン）,august von parseval (azur lane)
アウラ,aura (sousou no frieren)
オレリオン・ソル（リーグ・オブ・レジェンド）,aurelion sol (league of legends)
オーロックス（けものフレンズ）,aurochs (kemono friends)
オーロラ,aurora (arknights)
スヤリス姫,aurora sya lis kaymin
アベンチュリン（崩壊：スターレイル）,aventurine (honkai  star rail)
安和すばる,awa subaru
アクセル（キングダム ハーツ）,axel (kingdom hearts)
綾地寧々,ayachi nene
綾波（アズールレーン）,ayanami (azur lane)
綾波（艦隊これくしょん）,ayanami (kancolle)
綾波（アズールレーン）,ayanami (retrofit) (azur lane)
綾波改二（艦隊これくしょん）,ayanami kai ni (kancolle)
綾波レイ,ayanami rei
綾音（ブルーアーカイブ）,ayane (blue archive)
綾音,ayane (doa)
絢瀬絵里（ラブライブ！）,ayase eli
綾瀬穂乃香（アイドルマスター）,ayase honoka
綾瀬夕映,ayase yue
絢辻詞,ayatsuji tsukasa
アユンダ・リス,ayunda risu
アユンダ・リス（初期衣装）,ayunda risu (1st costume)
AZKi新ビジュアルお披露目,azki (4th costume) (hololive)
AZKi（ホロライブ）,azki (hololive)
阿祖拉,azula
吾妻（アズールレーン）,azuma (azur lane)
マリルリ,azumarill
アクア（FEif）,azura (fire emblem)
梓（ブルーアーカイブ）,azusa (blue archive)
梓（水着）（ブルーアーカイブ）,azusa (swimsuit) (blue archive)
小豆沢こはね,azusawa kohane
巴赫（アズールレーン）,bache (azur lane)
Backbeako,backbeako
Bae・Minah（Chaesu）,bae minah (chaesu)
バグパイプ（アークナイツ）,bagpipe (arknights)
梅喧,baiken
白露（崩壊：スターレイル）,bailu (honkai  star rail)
白朮,baizhu (genshin impact)
爆豪勝己（僕のヒーローアカデミア）,bakugou katsuki
バラライカ,balalaika (black lagoon)
バルフレア（ファイナルファンタジーXII）,balthier (final fantasy xii)
巴爾的摩（アズールレーン）,baltimore (after-school ace) (azur lane)
巴爾的摩（アズールレーン）,baltimore (azur lane)
巴爾的摩（アズールレーン）,baltimore (finish line flagbearer) (azur lane)
バンビエッタ・バスターバイン,bambietta basterbine
バナナ（ドールズフロントライン）,banana (girls' frontline)
万象院ハッカ,banzoin hakka
バーヴァン・シー（Fate）,baobhan sith (fate)
バーヴァン・シー（第二再臨）（Fate）,baobhan sith (second ascension) (fate)
バーヴァン・シー（水着プリテンダー）（Fate）,baobhan sith (swimsuit pretender) (fate)
バーヴァン・シー（水着プリテンダー）（第三再臨）（Fate）,baobhan sith (swimsuit pretender) (third ascension) (fate)
バーバラ（原神）,barbara (genshin impact)
バーバラ（夏time sparkle）（原神）,barbara (summertime sparkle) (genshin impact)
バーゲスト（Fate）,barghest (fate)
バーゲスト（第二再臨）（Fate）,barghest (second ascension) (fate)
バーゲスト（水着アーチャー）（Fate）,barghest (swimsuit archer) (fate)
バーナビー・ブルックスJr.,barnaby brooks jr.
Baron・Bunny（原神）,baron bunny (genshin impact)
バレット・ウォーレス（FF7）,barret wallace (ff7)
バジル（Faraway）（OMORI）,basil (faraway) (omori)
バジル（Headspace）（OMORI）,basil (headspace) (omori)
バジル（OMORI）,basil (omori)
バットガール（DC）,batgirl (dc)
戦艦姫（艦隊これくしょん）,battleship princess
戦艦水鬼（艦隊これくしょん）,battleship water oni
ベヨネッタ,bayonetta
バゼルギウス（モンスターハンター）,bazelgeuse (monster hunter)
BB（Fate）,bb (fate)
BB（Fate/EXTRA）,bb (fate/extra)
BB（水着 mooncancer）（Fate）,bb (swimsuit mooncancer) (fate)
BB（水着 mooncancer）（第三再臨）（Fate）,bb (swimsuit mooncancer) (third ascension) (fate)
BBドバイ（Fate）,bb dubai (fate)
サイトウ,bea (pokemon)
豆苗（明日方舟）,beanstalk (arknights)
ビーストボーイ,beast boy (dc)
ベアトリス（Re:ゼロ）,beatrice (re zero)
ベアトリーチェ,beatrice (umineko)
ベアトリクス（グラブル）,beatrix (granblue fantasy)
ベッキー・ブラックベル,becky blackbell
ビート（トレーナー）,bede (pokemon)
ベディヴィエール（Fate）,bedivere (fate)
ベルゼブブ（Helltaker）,beelzebub (helltaker)
ビルス（ドラゴンボール）,beerus (dragon ball)
ビーズワックス,beeswax (arknights)
北斗（原神）,beidou (genshin impact)
ベラルーシ,belarus (hetalia)
ベルファスト,belfast (azur lane)
メイド長とお買い物（アズールレーン）,belfast (shopping with the head maid) (azur lane)
ベルダンディー,belldandy
リン（ゼンゼロ）,belle (zenless zone zero)
ベン・テニスン（ベン10）,ben tennyson (ben 10)
紅閻魔（Fate）,beni-enma
ベルナデッタ=フォン=ヴァーリ,bernadetta von varley
バーサーカー（ランスロット）（Fate/Zero）,berserker (fate/zero)
ベル（トレーナー）,bianca (pokemon)
ビビ,bibi (tokoyami towa)
ビッグ・ボス（メタルギアソリッド）,big boss (metal gear solid)
ビッグス（FF7）,biggs (ff7)
Bili娘22号,bili girl 22
Bili娘33号,bili girl 33
ビナー（Project Moon）,binah (project moon)
ビスマルク（アズールレーン）,bismarck (azur lane)
ビスマルク,bismarck (kancolle)
ビワハヤヒデ（ウマ娘）,biwa hayahide (umamusume)
ブラック★ゴールドソー,black gold saw
黒羽川（〈物語〉シリーズ）,black hanekawa
ブラックハート,black heart (neptunia)
ブラックレディ,black lady (sailor moon)
ブラック★ロックシューター,black rock shooter (character)
ブラックスワン（崩壊：スターレイル）,black swan (honkai  star rail)
ブラック・ウィドウ（Marvel）,black widow (marvel)
オグロプレーリードッグ,black-tailed prairie dog (kemono friends)
ブラックファイア（DC）,blackfire (dc)
刃（崩壊：スターレイル）,blade (honkai  star rail)
Blaidd（ELDEN RING）,blaidd (elden ring)
半狼のブライヴ,blaidd the half-wolf
ブレイク・ベラドンナ,blake belladonna
ブラン,blanc (neptunia)
煌,blaze (arknights)
ブレイズ・ザ・キャット,blaze the cat
バシャーモ（ポケモン）,blaziken (pokemon)
瑕光,blemishine (arknights)
布噜噗（ホロライブ）,bloop (gawr gura)
ブロッサム,blossom (ppg)
ブルー・マリー,blue mary
グリーン（ポケモン）,blue oak
アズリウス（アークナイツ）,blue poison (arknights)
浅瀬,blue poison (shoal beat) (arknights)
ブルーローズ,blue rose (tiger & bunny)
ボア・ハンコック,boa hancock
ボバ・フェット（スター・ウォーズ）,boba fett (star wars)
博科（ガールズ＆パンツァー）,boko (girls und panzer)
ボクカワウソ,bokukawauso
ユリーカ,bonnie (pokemon)
テレサ,boo (mario)
ブータオ（原神）,boo tao (genshin impact)
ブータ（天元突破グレンラガン）,boota (ttgl)
ブートヒル（崩壊：スターレイル）,boothill (honkai  star rail)
博羅斯（ホロライブ）,boros (ouro kronii)
ボルツ,bort
ボトルミク,bottle miku
ブーディカ（Fate）,boudica (fate)
クッパ,bowser
クッパ姫,bowsette
ブラダマンテ（Fate）,bradamante (fate)
テールナー,braixen
Brazilian・Miku,brazilian miku
ブレマートン,bremerton (azur lane)
アクションクルーズ,bremerton (kung fu cruiser) (azur lane)
熱々トレーニング,bremerton (scorching-hot training) (azur lane)
ユウキ（トレーナー）,brendan (pokemon)
ブリジット,bridget (guilty gear)
ブリーフ,brief (psg)
カグツチ,brighid (xenoblade)
ブローニャ,bronya rand
ブローニャ・ザイチク,bronya zaychik
ブローニャ・ザイチク（理の律者）,bronya zaychik (herrscher of reason)
ブローニャ・ザイチク（真理の律者）,bronya zaychik (herrscher of truth)
ブローニャ・ザイチク（銀翼のN-EX）,bronya zaychik (silverwing  n-ex)
ブルック,brook (one piece)
ヒグマ（けものフレンズ）,brown bear (kemono friends)
ブルース・ウェイン,bruce wayne
ブローノ・ブチャラティ,bruno bucciarati
ブライアン・フューリー（鉄拳）,bryan fury (tekken)
ブリュンヒルデ（Fate）,brynhild (fate)
巴巴（ホロライブ）,bubba (watson amelia)
フシギダネ,bulbasaur
ブルマ（ドラゴンボール）,bulma
ミミロル,buneary
毒島冴子,busujima saeko
バターカップ,buttercup (ppg)
ベレス（ファイアーエムブレム）,byleth (female) (fire emblem)
ベレス（夏）（ファイアーエムブレム）,byleth (female) (summer) (fire emblem)
ベレト,byleth (fire emblem)
ベレト（ファイアーエムブレム）,byleth (male) (fire emblem)
C.C.,c.c.
穹（崩壊：スターレイル）,caelus (honkai  star rail)
カイニス（Fate）,caenis (fate)
シーザー・アントニオ・ツェペリ,caesar anthonio zeppeli
キング・シーザー,caesar king (zenless zone zero)
カガリ・ユラ・アスハ,cagalli yula athha
カリオストロ,cagliostro (granblue fantasy)
ケット・シー（FF7）,cait sith (ff7)
カトレア,caitlin (pokemon)
カルム（トレーナー）,calem (pokemon)
シオカラーズ,callie (splatoon)
カルストンライトオ（ウマ娘）,calstone light o (umamusume)
カミラ（FEif）,camilla (fire emblem)
キャミィ,cammy white
坎蒂絲,candace (genshin impact)
スズナ（トレーナー）,candice (pokemon)
キャンディス・キャットニップ（BLEACH）,candice catnipp (bleach)
隊長（けものフレンズ）,captain (kemono friends)
キャプテンアメリカ,captain america
キャプテン・ファルコン,captain falcon
キャプテン・ネモ（Fate）,captain nemo (fate)
カラカル（けものフレンズ）,caracal (kemono friends)
カレン・オルテンシア（Fate）,caren hortensia
